ANTHRO 3334G - PRIMATE &amp; HUMAN PALEONTOL,"[['', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '12:30 PM', '3:30 PM', 'SSC-2257']]"
ANTHRO 2272G - ANTHROPOLOGY OF TOURISM,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANTHRO 2236B - HUMAN AGING:BIOANTH PERSPECTVS,"[['', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '2:30 PM', '5:30 PM', 'SEB-1059']]"
ANTHRO 2285G - ANTHRO OF FASHION,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANTHRO 2218F - CONTEM 1ST NATIONS ISS IN CAN,"[['', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '7:00 PM', '10:00 PM', 'WL-258']]"
"ANTHRO 2260G - ""NATURE"" IN THE CITY","[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '12:30 PM', '2:30 PM', 'SSC-2024', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '12:30 PM', '1:30 PM', 'SSC-2024']]"
ANTHRO 2226A - BIOLOGICAL ANTHROPOLOGY,"[['', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '2:30 PM', '5:30 PM', 'SSC-2257']]"
ANTHRO 3325F - READINGS IN ANTHROPOLOGY,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '']]"
ANTHRO 4412G - LANGUAGE AND POWER,"[['', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '10:30 AM', '1:30 PM', 'SSC-3227']]"
"ANTHRO 2151A - LANGUAGE, GENDER AND SEXUALITY","[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '1:30 PM', '3:30 PM', 'UCC-67', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '3:30 PM', '4:30 PM', 'SSC-3227']]"
ANTHRO 1027B - INTRO TO LINGUISTICS,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '1:30 PM', '3:30 PM', 'KB-K203', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '2:30 PM', '3:30 PM', 'SSC-3102', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '3:30 PM', '4:30 PM', 'SSC-3102', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '4:30 PM', '5:30 PM', 'SSC-3102']]"
ANTHRO 3337F - SOCIOLINGUISTICS,"[['', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '10:30 AM', '1:30 PM', 'KB-K208']]"
ANTHRO 2245F - ANTHRO APPROACHES TO LANG,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '1:30 PM', '4:30 PM', 'WL-258']]"
